nombre,grado,calificacion,asistencia,conducta
Estudiante_220,Primero,17.79,51.11,20
Estudiante_221,Segundo,16.75,82.04,10
Estudiante_222,Primero,9.56,70.7,18
Estudiante_223,Tercero,15.37,63.5,20
Estudiante_224,Cuarto,17.49,60.34,15
Estudiante_225,Primero,14.66,82.7,12
Estudiante_226,Primero,16.77,70.81,13
Estudiante_227,Segundo,19.54,58.98,20
Estudiante_228,Segundo,16.57,84.46,13
Estudiante_229,Tercero,14.25,78.25,12
Estudiante_230,Cuarto,16.64,92.93,19
Estudiante_231,Segundo,13.93,55.87,12
Estudiante_232,Primero,13.57,89.28,12
Estudiante_233,Cuarto,12.45,83.68,13
Estudiante_234,Cuarto,18.19,55.75,16
Estudiante_235,Primero,11.04,84.74,13
Estudiante_236,Segundo,18.1,72.08,18
Estudiante_237,Primero,15.0,97.25,10
Estudiante_238,Cuarto,9.3,57.08,17
Estudiante_239,Quinto,14.6,82.14,16
Estudiante_240,Quinto,7.2,69.1,11
Estudiante_241,Tercero,15.38,97.84,17
Estudiante_242,Primero,16.16,66.5,10
Estudiante_243,Primero,11.72,98.11,20
Estudiante_244,Tercero,13.87,95.07,18
Estudiante_245,Tercero,19.36,63.52,18
Estudiante_246,Tercero,11.98,90.18,11
Estudiante_247,Cuarto,10.32,99.78,16
Estudiante_248,Primero,17.94,62.63,19
Estudiante_249,Cuarto,19.39,71.84,12
Estudiante_250,Tercero,13.51,76.01,16
Estudiante_251,Primero,16.53,64.75,19
Estudiante_252,Cuarto,17.52,50.76,18
Estudiante_253,Cuarto,11.27,61.01,13
Estudiante_254,Tercero,12.04,64.1,10
Estudiante_255,Primero,17.19,72.18,11
Estudiante_256,Tercero,18.56,58.56,10
Estudiante_257,Primero,15.19,93.66,14
Estudiante_258,Quinto,10.86,85.25,14
Estudiante_259,Segundo,19.46,54.26,20
Estudiante_260,Segundo,11.91,82.5,16
Estudiante_261,Segundo,12.49,82.68,18
Estudiante_262,Tercero,14.53,97.81,18
Estudiante_263,Quinto,18.16,50.15,12
Estudiante_264,Primero,16.06,62.4,12
Estudiante_265,Cuarto,14.74,96.39,12
Estudiante_266,Primero,14.89,96.61,13
Estudiante_267,Cuarto,13.63,86.03,17
Estudiante_268,Primero,15.17,88.29,15
Estudiante_269,Quinto,5.91,54.57,17
Estudiante_270,Cuarto,12.61,75.69,10
Estudiante_271,Tercero,14.22,61.58,17
Estudiante_272,Primero,10.05,59.06,13
Estudiante_273,Primero,14.66,90.52,20
Estudiante_274,Cuarto,12.89,56.75,10
Estudiante_275,Tercero,18.77,73.43,17
Estudiante_276,Tercero,18.22,96.93,13
Estudiante_277,Quinto,12.1,59.29,15
Estudiante_278,Tercero,13.05,98.9,17
Estudiante_279,Tercero,13.28,99.71,13
Estudiante_280,Tercero,12.15,77.78,12
Estudiante_281,Segundo,14.09,58.51,18
Estudiante_282,Quinto,11.23,65.81,12
Estudiante_283,Primero,10.11,71.22,18
Estudiante_284,Cuarto,15.37,65.47,11
Estudiante_285,Primero,15.39,64.03,11
Estudiante_286,Quinto,11.09,98.61,11
Estudiante_287,Cuarto,16.19,57.67,15
Estudiante_288,Quinto,11.61,86.67,12
Estudiante_289,Tercero,14.26,50.02,18
Estudiante_290,Cuarto,15.96,79.81,13
Estudiante_291,Tercero,13.4,95.8,10
Estudiante_292,Primero,14.86,64.4,13
Estudiante_293,Primero,11.95,59.28,10
Estudiante_294,Cuarto,12.91,82.58,14
Estudiante_295,Cuarto,12.88,85.63,13
Estudiante_296,Quinto,11.26,84.4,17
Estudiante_297,Quinto,12.97,65.97,17
Estudiante_298,Tercero,8.85,62.61,16
Estudiante_299,Cuarto,12.03,97.8,12
Estudiante_300,Primero,12.65,96.16,10
Estudiante_301,Quinto,12.73,72.87,10
Estudiante_302,Quinto,12.78,92.31,20
Estudiante_303,Primero,13.31,72.62,12
Estudiante_304,Quinto,14.94,71.22,15
Estudiante_305,Tercero,16.12,57.84,16
Estudiante_306,Cuarto,11.55,71.32,15
Estudiante_307,Primero,9.89,76.87,15
Estudiante_308,Cuarto,10.37,51.13,15
Estudiante_309,Quinto,12.04,72.21,12
Estudiante_310,Quinto,12.44,89.07,15
Estudiante_311,Primero,11.19,84.0,17
Estudiante_312,Tercero,9.61,81.76,20
Estudiante_313,Segundo,12.13,95.48,20
Estudiante_314,Primero,14.04,50.9,11
Estudiante_315,Segundo,15.29,77.85,14
Estudiante_316,Segundo,11.83,89.37,10
Estudiante_317,Tercero,12.26,77.07,10
Estudiante_318,Segundo,10.72,66.19,14
Estudiante_319,Segundo,13.41,56.81,12
Estudiante_320,Tercero,10.95,94.38,13
Estudiante_321,Segundo,15.22,73.54,12
Estudiante_322,Segundo,8.14,93.91,10
Estudiante_323,Segundo,12.42,79.29,10
Estudiante_324,Primero,14.4,83.71,14
Estudiante_325,Primero,14.05,90.21,15
Estudiante_326,Primero,20.0,82.96,12
Estudiante_327,Tercero,14.55,69.9,18
Estudiante_328,Quinto,10.49,75.68,14
Estudiante_329,Segundo,13.21,90.15,17
Estudiante_330,Segundo,8.17,68.68,10
Estudiante_331,Tercero,13.26,69.41,14
Estudiante_332,Segundo,11.0,54.78,12
Estudiante_333,Primero,16.25,95.73,10
Estudiante_334,Quinto,11.85,54.55,13
Estudiante_335,Cuarto,13.15,82.41,14
Estudiante_336,Segundo,11.59,70.66,16
Estudiante_337,Primero,18.72,70.28,10
Estudiante_338,Cuarto,12.54,83.98,12
Estudiante_339,Quinto,19.0,53.35,11
Estudiante_340,Cuarto,15.94,79.69,18
Estudiante_341,Primero,14.95,88.6,19
Estudiante_342,Cuarto,14.61,91.41,15
Estudiante_343,Tercero,14.68,58.53,19
Estudiante_344,Cuarto,7.72,94.87,12
Estudiante_345,Segundo,12.66,82.81,17
Estudiante_346,Segundo,16.04,94.09,17
Estudiante_347,Tercero,13.35,74.26,11
Estudiante_348,Primero,9.28,77.1,15
Estudiante_349,Segundo,13.34,95.95,16
Estudiante_350,Quinto,18.61,95.0,11
Estudiante_351,Segundo,17.24,72.41,20
Estudiante_352,Segundo,13.31,63.72,19
Estudiante_353,Primero,16.35,69.66,11
Estudiante_354,Cuarto,12.4,69.39,19
Estudiante_355,Segundo,8.39,64.34,10
Estudiante_356,Tercero,10.73,63.43,17
Estudiante_357,Cuarto,18.19,93.05,10
Estudiante_358,Quinto,12.68,53.49,18
Estudiante_359,Primero,12.77,83.88,20
Estudiante_360,Quinto,12.6,58.64,15
Estudiante_361,Cuarto,19.21,67.23,16
Estudiante_362,Cuarto,18.38,53.08,19
Estudiante_363,Cuarto,20.0,63.5,16
Estudiante_364,Quinto,13.02,88.42,19
Estudiante_365,Cuarto,14.39,94.25,12
Estudiante_366,Quinto,8.95,61.08,11
Estudiante_367,Cuarto,17.93,73.18,18
Estudiante_368,Tercero,10.0,73.52,17
Estudiante_369,Cuarto,14.15,93.68,19
Estudiante_370,Quinto,10.21,88.14,16
Estudiante_371,Segundo,11.73,75.65,18
Estudiante_372,Cuarto,10.99,83.54,13
Estudiante_373,Segundo,11.68,92.37,13
Estudiante_374,Tercero,11.88,50.48,10
Estudiante_375,Primero,11.86,70.14,17
Estudiante_376,Tercero,16.0,95.36,12
Estudiante_377,Cuarto,10.19,87.02,16
Estudiante_378,Segundo,14.16,77.14,11
Estudiante_379,Segundo,17.15,76.48,11
Estudiante_380,Quinto,11.96,67.39,16
Estudiante_381,Segundo,11.35,76.03,15
Estudiante_382,Quinto,12.81,82.77,12
Estudiante_383,Primero,17.04,70.92,18
Estudiante_384,Cuarto,14.08,85.71,19
Estudiante_385,Quinto,11.91,93.06,15
Estudiante_386,Primero,14.95,57.73,19
Estudiante_387,Segundo,10.19,72.58,19
Estudiante_388,Segundo,15.54,70.4,15
Estudiante_389,Primero,14.73,84.37,10
Estudiante_390,Segundo,12.58,62.49,13
Estudiante_391,Primero,10.98,82.01,19
Estudiante_392,Quinto,10.84,93.87,15
Estudiante_393,Quinto,15.1,70.91,15
Estudiante_394,Primero,17.19,95.55,20
Estudiante_395,Quinto,11.59,99.66,14
Estudiante_396,Quinto,14.88,55.3,10
Estudiante_397,Quinto,7.24,61.65,17
Estudiante_398,Tercero,11.75,97.52,14
Estudiante_399,Cuarto,13.41,97.92,14
Estudiante_400,Segundo,10.77,54.89,16
Estudiante_401,Tercero,10.69,50.75,13
Estudiante_402,Quinto,11.5,58.06,15
Estudiante_403,Primero,14.38,99.8,13
Estudiante_404,Quinto,12.94,59.0,12
Estudiante_405,Cuarto,6.79,75.13,16
Estudiante_406,Quinto,7.14,92.42,17
Estudiante_407,Primero,11.68,51.02,13
Estudiante_408,Cuarto,14.87,80.22,11
Estudiante_409,Quinto,5.26,63.85,19
Estudiante_410,Cuarto,12.0,93.12,12
Estudiante_411,Segundo,11.92,64.17,10
Estudiante_412,Segundo,17.67,84.34,17
Estudiante_413,Quinto,12.34,83.71,12
Estudiante_414,Cuarto,14.65,61.07,19
Estudiante_415,Primero,13.92,51.74,16
Estudiante_416,Quinto,7.11,70.46,19
Estudiante_417,Segundo,15.8,64.46,14
Estudiante_418,Segundo,14.15,90.45,19
Estudiante_419,Quinto,15.02,90.02,14
Estudiante_420,Cuarto,20.0,72.85,16
Estudiante_421,Segundo,7.25,80.33,18
Estudiante_422,Cuarto,18.67,80.21,14
Estudiante_423,Segundo,12.64,91.36,10
Estudiante_424,Segundo,14.36,71.25,19
Estudiante_425,Tercero,13.36,63.77,19
Estudiante_426,Segundo,12.23,63.25,10
Estudiante_427,Primero,11.79,76.81,11
Estudiante_428,Quinto,14.49,72.46,15
Estudiante_429,Quinto,8.95,72.01,18
Estudiante_430,Cuarto,15.75,54.56,17
Estudiante_431,Segundo,12.25,85.93,14
Estudiante_432,Primero,10.11,60.69,10
Estudiante_433,Cuarto,12.15,59.85,16
Estudiante_434,Tercero,17.27,70.64,14
Estudiante_435,Cuarto,11.89,61.39,15
Estudiante_436,Cuarto,14.58,79.19,16
Estudiante_437,Segundo,11.31,68.57,12
Estudiante_438,Tercero,15.77,72.45,19
Estudiante_439,Cuarto,15.56,76.86,12
Estudiante_440,Primero,19.05,60.18,14
Estudiante_441,Primero,12.97,57.79,15
Estudiante_442,Quinto,15.51,94.02,18
Estudiante_443,Tercero,13.79,71.69,14
Estudiante_444,Tercero,17.39,70.6,10
Estudiante_445,Quinto,11.34,51.78,13
Estudiante_446,Cuarto,15.74,74.9,14
Estudiante_447,Tercero,12.92,77.71,19
Estudiante_448,Primero,13.31,77.94,19
Estudiante_449,Primero,13.78,85.35,14
Estudiante_450,Segundo,14.26,58.87,16
Estudiante_451,Tercero,13.15,62.61,13
Estudiante_452,Cuarto,14.14,90.54,10
Estudiante_453,Quinto,18.23,97.36,14
Estudiante_454,Quinto,16.46,56.8,16
Estudiante_455,Cuarto,16.11,74.88,19
Estudiante_456,Segundo,12.13,60.71,19
Estudiante_457,Quinto,10.83,53.0,15
Estudiante_458,Tercero,16.37,66.28,14
Estudiante_459,Segundo,16.13,57.18,13
Estudiante_460,Tercero,17.92,85.5,11
Estudiante_461,Primero,11.69,76.69,13
Estudiante_462,Segundo,12.81,57.19,19
Estudiante_463,Quinto,8.58,50.46,19
Estudiante_464,Segundo,12.32,90.41,12
Estudiante_465,Segundo,16.49,58.81,19
Estudiante_466,Segundo,12.1,80.31,10
Estudiante_467,Segundo,15.42,66.85,17
Estudiante_468,Tercero,12.93,79.27,14
Estudiante_469,Primero,14.47,65.78,13
Estudiante_470,Cuarto,10.06,54.35,17
Estudiante_471,Segundo,13.76,61.15,16
Estudiante_472,Quinto,4.53,59.4,11
Estudiante_473,Segundo,12.94,71.4,10
Estudiante_474,Quinto,8.61,82.91,20
Estudiante_475,Tercero,17.12,63.19,13
Estudiante_476,Quinto,15.83,50.6,17
Estudiante_477,Cuarto,14.9,75.95,11
Estudiante_478,Primero,18.06,80.29,12
Estudiante_479,Quinto,10.65,98.14,10
Estudiante_480,Quinto,18.74,79.47,10
Estudiante_481,Primero,16.3,73.56,12
Estudiante_482,Cuarto,12.79,78.67,20
Estudiante_483,Segundo,16.91,96.4,14
Estudiante_484,Quinto,10.18,91.42,12
Estudiante_485,Primero,11.03,66.15,10
Estudiante_486,Tercero,11.67,61.86,10
Estudiante_487,Primero,11.91,63.13,17
Estudiante_488,Tercero,10.33,75.22,19
Estudiante_489,Cuarto,17.17,87.2,20
Estudiante_490,Segundo,12.72,75.16,11
Estudiante_491,Primero,14.56,53.39,12
Estudiante_492,Quinto,11.79,86.18,11
Estudiante_493,Cuarto,8.04,90.3,12
Estudiante_494,Primero,14.31,64.47,16
Estudiante_495,Quinto,7.76,83.21,10
Estudiante_496,Primero,13.29,71.33,19
Estudiante_497,Tercero,9.4,94.46,17
Estudiante_498,Primero,19.46,92.26,19
Estudiante_499,Primero,16.23,76.27,19
Estudiante_500,Primero,13.82,84.58,19
Estudiante_501,Cuarto,17.29,94.17,11
Estudiante_502,Primero,10.96,74.79,12
Estudiante_503,Quinto,15.13,65.66,18
Estudiante_504,Tercero,14.1,87.68,16
Estudiante_505,Tercero,14.29,61.0,13
Estudiante_506,Primero,17.32,69.43,19
Estudiante_507,Cuarto,15.7,93.29,14
Estudiante_508,Cuarto,14.37,86.22,11
Estudiante_509,Quinto,8.54,70.19,20
Estudiante_510,Primero,10.62,60.74,17
Estudiante_511,Tercero,13.13,67.8,13
Estudiante_512,Cuarto,13.78,64.21,18
Estudiante_513,Primero,10.11,58.8,14
Estudiante_514,Cuarto,20.0,87.17,18
Estudiante_515,Cuarto,18.05,62.6,13
Estudiante_516,Tercero,15.31,72.71,19
Estudiante_517,Segundo,13.72,69.29,14
Estudiante_518,Quinto,12.86,99.1,18
Estudiante_519,Quinto,10.64,69.55,17
Estudiante_520,Tercero,13.73,54.0,12
Estudiante_521,Cuarto,14.27,54.49,10
Estudiante_522,Primero,9.77,79.54,12
Estudiante_523,Cuarto,14.5,79.97,13
Estudiante_524,Tercero,13.03,70.94,11
Estudiante_525,Quinto,7.78,71.59,10
Estudiante_526,Cuarto,10.92,52.7,16
Estudiante_527,Quinto,12.26,75.83,17
Estudiante_528,Primero,19.16,75.24,16
Estudiante_529,Quinto,15.17,57.48,14
Estudiante_530,Quinto,9.49,55.19,10
Estudiante_531,Segundo,14.96,56.18,16
Estudiante_532,Segundo,8.86,55.05,16
Estudiante_533,Segundo,16.75,80.49,18
Estudiante_534,Quinto,12.09,59.82,12
Estudiante_535,Tercero,13.22,62.57,18
Estudiante_536,Quinto,17.48,58.68,10
Estudiante_537,Tercero,9.64,97.89,10
Estudiante_538,Tercero,9.31,92.73,13
Estudiante_539,Segundo,11.75,61.52,18
Estudiante_540,Cuarto,16.62,66.38,15
Estudiante_541,Primero,8.94,60.49,20
Estudiante_542,Segundo,5.0,74.59,12
Estudiante_543,Segundo,12.15,50.98,10
Estudiante_544,Cuarto,15.16,83.57,13
Estudiante_545,Primero,17.1,76.16,18
Estudiante_546,Quinto,12.11,94.93,12
Estudiante_547,Quinto,12.27,58.22,18
Estudiante_548,Segundo,16.96,90.21,16
Estudiante_549,Primero,7.89,89.6,13
Estudiante_550,Segundo,12.33,56.36,12
Estudiante_551,Tercero,14.07,69.93,19
Estudiante_552,Segundo,14.85,58.51,14
Estudiante_553,Segundo,11.97,62.74,14
Estudiante_554,Quinto,13.6,63.16,12
Estudiante_555,Quinto,6.04,77.81,18
Estudiante_556,Quinto,11.53,70.57,13
Estudiante_557,Tercero,14.86,97.39,20
Estudiante_558,Quinto,10.55,56.32,14
Estudiante_559,Primero,13.68,98.68,13
Estudiante_560,Cuarto,14.84,61.53,14
Estudiante_561,Primero,12.47,88.64,16
Estudiante_562,Primero,14.01,66.95,18
Estudiante_563,Quinto,10.61,57.15,16
Estudiante_564,Cuarto,12.88,92.89,14
Estudiante_565,Cuarto,15.33,65.44,19
Estudiante_566,Cuarto,13.97,82.94,19
Estudiante_567,Tercero,11.74,78.32,16
Estudiante_568,Quinto,14.17,73.59,19
Estudiante_569,Cuarto,15.64,74.79,14
Estudiante_570,Tercero,7.35,86.61,12
Estudiante_571,Segundo,16.98,54.39,16
Estudiante_572,Segundo,12.49,83.41,20
Estudiante_573,Tercero,14.78,94.79,20
Estudiante_574,Tercero,17.09,52.89,11
Estudiante_575,Quinto,9.38,57.03,18
Estudiante_576,Quinto,11.37,85.83,19
Estudiante_577,Segundo,12.63,71.86,19
Estudiante_578,Cuarto,11.15,70.18,10
Estudiante_579,Segundo,18.7,56.85,15
Estudiante_580,Cuarto,10.93,75.34,16
Estudiante_581,Cuarto,11.83,56.33,17
Estudiante_582,Quinto,14.11,73.83,19
Estudiante_583,Primero,9.89,88.18,18
Estudiante_584,Primero,12.31,62.91,11
Estudiante_585,Tercero,14.45,74.04,20
Estudiante_586,Quinto,12.5,99.6,19
Estudiante_587,Cuarto,13.22,84.33,11
Estudiante_588,Primero,11.91,92.07,14
Estudiante_589,Cuarto,8.96,70.74,14
Estudiante_590,Primero,14.46,88.39,15
Estudiante_591,Primero,18.76,52.03,12
Estudiante_592,Primero,13.56,56.15,17
Estudiante_593,Quinto,14.18,60.15,10
Estudiante_594,Segundo,15.58,70.1,15
Estudiante_595,Cuarto,9.69,92.29,13
Estudiante_596,Quinto,18.61,67.31,10
Estudiante_597,Quinto,14.11,82.73,16
Estudiante_598,Quinto,18.4,85.47,18
Estudiante_599,Quinto,11.3,79.31,13
Estudiante_600,Quinto,18.95,67.86,13
Estudiante_601,Tercero,15.83,78.85,15
Estudiante_602,Cuarto,15.16,67.11,12
Estudiante_603,Quinto,14.2,54.19,15
Estudiante_604,Cuarto,12.75,99.64,16
Estudiante_605,Tercero,17.1,56.36,20
Estudiante_606,Tercero,13.92,53.62,19
